"","Age","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2000b","X2001b","X2002b","X2003b","X2004b","X2005b","X2006b","X2007b","X2008b","X2009b","X2010b","X2011b","X2012b","X2013b","X2014b","X2015b","X2016b","X2017b","X2018b","X2019b","X2020b","X2021b","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",1,27277,25813,12674,88314,18465,56801,29865,55011,22328,19908,75266,36899,51496,15008,4032,47183,93387,45024,37849,36872,31661,32399,2,0,11,0,4,37,1,0,1,16,3,190,16,2,0,0,5,1,19,0,0,0,7.33218462440884e-05,0,0.000867918573457472,0,0.000216626049282426,0.000651396982447492,3.34840113845639e-05,0,4.47868147617341e-05,0.000803697006228652,3.98586347088991e-05,0.0051491910349874,0.000310703743980115,0.000133262260127932,0,0,5.3540642701875e-05,2.22103766879886e-05,0.000501994768686095,0,0,0
"2",2,18304,27265,25772,12549,87892,18268,56687,29404,54893,22310,19807,74794,36600,51479,15006,4023,47151,93287,45011,37823,36870,31653,2,0,18,0,163,1434,0,21,0,5,0,23,138,10,2,9,0,1,3,1,0,6,0.000109265734265734,0,0.000698432407263697,0,0.00185454876439266,0.0784979198598642,0,0.000714188545776085,0,0.000224114746750336,0,0.000307511297697676,0.00377049180327869,0.000194253967637289,0.000133280021324803,0.00223713646532438,0,1.0719607233591e-05,6.66503743529359e-05,2.64389392697565e-05,0,0.000189555492370391
"3",3,62734,18290,27263,25751,12516,87679,16834,56437,29365,54848,22272,19779,74702,36460,51465,14730,4007,47135,93244,44999,37812,36869,1,0,690,2,4,21,2,114,4,5,0,4,10,5,39,325,2,0,2,1,0,19,1.59403194440017e-05,0,0.0253090268862561,7.76668867228457e-05,0.000319590923617769,0.000239510030908199,0.000118807175953428,0.0020199514502897,0.000136216584369147,9.11610268378063e-05,0,0.000202234693361646,0.000133865224491981,0.00013713658804169,0.000757796560769455,0.0220638153428377,0.000499126528574994,0,2.14491012826563e-05,2.22227160603569e-05,0,0.000515338088909382
"4",4,50377,62693,18284,26545,25735,12499,87643,16578,56282,27972,54578,22262,19770,74692,36453,51401,14359,3993,47121,93179,44971,37806,25,3,5,0,36,11,7,249,2,7,96,1,0,7,0,815,0,0,0,2,0,2,0.000496258213073426,4.78522323066371e-05,0.00027346313716911,0,0.00139887312997863,0.000880070405632451,7.98694704654108e-05,0.0150199058993847,3.55353398955261e-05,0.00025025025025025,0.00175895049287259,4.49195939268709e-05,0,9.37182027526375e-05,0,0.0158557226513103,0,0,0,2.14640637911976e-05,0,5.29016558218272e-05
"5",5,77034,50301,62624,18243,26528,25599,9877,87022,16329,56279,27725,54367,21711,19770,74637,36438,50561,14300,3987,47103,93147,44942,67,15,4844,0,2,58,58,46,11,2589,54,17,191,5,6,64,0,0,1,0,2,38,0.000869745826518161,0.00029820480706149,0.0773505365355135,0,7.53920386007238e-05,0.00226571350443377,0.00587222840943606,0.00052860196272207,0.000673648110723253,0.0460029495904334,0.00194770063119928,0.000312689683079809,0.00879738381465616,0.000252908447142135,8.03890831625065e-05,0.00175640814534277,0,0,0.000250815149235014,0,2.14714376201059e-05,0.000845534244136888
"6",6,20534,76575,50282,57661,18237,26500,25342,9810,79441,16304,50610,27660,54337,21520,19763,74608,36175,50513,14172,3974,47057,93122,10,2,3580,0,1862,533,319,1,0,7,42,11,32,6,0,4584,8,0,0,10,0,207,0.000486997175416383,2.61181847861574e-05,0.0711984407939223,0,0.102100126117234,0.0201132075471698,0.0125877989108989,0.000101936799184506,0,0.000429342492639843,0.000829875518672199,0.000397686189443239,0.000588917312328616,0.000278810408921933,0,0.0614411323182501,0.000221147201105736,0,0,0.00251635631605435,0,0.00222289040183845
"7",7,21932,20375,74132,40974,57610,15083,25308,25007,9775,78528,16278,46971,27641,54301,21514,19760,69930,35961,50484,14164,3910,37611,196,0,8859,0,12,3,3085,133,0,700,1,2736,343,7,1,3702,0,0,580,0,0,0,0.00893671347802298,0,0.119503048615982,0,0.000208297170630099,0.000198899423191673,0.121898214003477,0.00531851081697125,0,0.00891401792991035,6.14326084285539e-05,0.0582487066487833,0.0124091024203176,0.00012891106977772,4.64813609742493e-05,0.187348178137652,0,0,0.0114887885270581,0,0,0
"8",8,49032,20988,20373,61657,40853,50226,15073,22163,24824,9314,77798,16213,44151,27293,54291,21496,14137,57760,35931,46537,9285,3370,7,23,10628,9,1817,9,5,0,0,0,3,5,63,5,4,340,5,234,0,0,0,108,0.000142763909283733,0.00109586430341147,0.521670838855348,0.00014596882754594,0.0444765378307591,0.000179190060924621,0.000331718967690573,0,0,0,3.85614026067508e-05,0.000308394498242151,0.00142692124753686,0.000183197156780127,7.36770367095835e-05,0.0158168961667287,0.000353681827827686,0.00405124653739612,0,0,0,0.0320474777448071
"9",9,41454,41963,20936,9729,54884,29599,43517,10595,21009,24814,9123,67827,15929,39122,27033,49765,19897,8584,50258,32256,41336,9147,939,107,261,0,10,850,4,0,0,19,12,4931,164,13,9045,9445,1,1,347,0,1039,0,0.0226516138370242,0.00254986535757691,0.0124665647688193,0,0.000182202463377305,0.0287171863914321,9.19181009720339e-05,0,0,0.000765696784073507,0.00131535679052943,0.0726996623763398,0.0102956871115575,0.000332293850007668,0.334591055376762,0.189792022505777,5.0258832989898e-05,0.000116495806150979,0.00690437343308528,0,0.0251354751306367,0
"10",10,30592,37403,38052,20626,9708,50480,28033,37251,10554,21005,15974,8936,40755,15439,39075,17818,22058,12978,8583,42980,24770,36773,6,0,10020,0,0,656,0,2,1,3493,0,2324,673,2,1207,265,453,0,0,4,0,105,0.000196129707112971,0,0.263323872595396,0,0,0.0129952456418384,0,5.36898338299643e-05,9.47508053818457e-05,0.166293739585813,0,0.260071620411817,0.0165133112501534,0.000129542068786839,0.0308893154190659,0.0148726007408239,0.020536766705957,0,0,9.30665425779432e-05,0,0.00285535583172436
