Year,Temp,Rann,Raut,Rwint,Rspr,Rsum,Rcool,HiA,HiS,HdA,HdS,LiA,LiS,LdA,LdS,SynVar
1910,-1.281545455,824.13,187.34,461.59,144.87,12.42,753.35,,,,,,,,,
1911,-1.421545455,516.81,128.02,265.87,102.96,23.23,470.45,,,,,,,,,
1912,-0.821545455,629.11,100.48,316.87,178.75,36.53,563.64,,,,,,,,,
1913,-1.341545455,773.8,152.74,394.04,144.5,110.21,646.65,,,,,,,,,
1914,-0.851545455,482.93,82.65,216.26,121.94,112.81,349.11,,,,,,,,,
1915,-0.431545455,821.74,135.82,405.02,185.41,61.43,679.12,,,,,,,,,
1916,-1.451545455,688.04,100.94,384.83,140.94,37.28,555.86,,,,,,,,,
1917,-1.991545455,1034.88,245.61,511,210.62,133.36,916.97,,,,,,,,,
1918,-0.661545455,793.23,211.86,324.76,151.54,22.73,638.41,,,,,,,,,
1919,-1.331545455,621.56,135.11,329.83,129.75,32.21,552.1,,,,,,,,,
1920,-0.831545455,729.9,165.07,450.84,85.14,54.27,657.2,,,,,,,,,
1921,-0.311545455,775.88,211.66,302.55,185.63,51.17,650.79,,,,,,,,,
1922,-1.701545455,665.06,161.51,327.09,118.47,60.42,552.16,,,,,,,,,
1923,-1.131545455,838.19,231.39,395.22,173.19,20.86,760.9,,,,,,,,,
1924,-1.591545455,683.03,140.2,314.57,217.5,45.84,624.71,,,,,,,,,
1925,-1.391545455,609.12,148.45,242.69,144.91,54.23,495.09,,,,,,,,,
1926,-1.281545455,925.85,258.81,411.22,217.88,38.34,797.07,,,,,,,,,
1927,-1.261545455,702.88,167.14,335.16,165.71,41.03,591.82,,,,,,,,,
1928,-1.251545455,726.28,144.63,386.02,149.46,46.96,663.44,,,,,,,,,
1929,-1.691545455,685.87,188.71,304.38,144.78,20.99,562.9,,,,,,,,,
1930,-0.541545455,680.9,130.95,398.99,130.61,22.15,617.23,,,,,,,,,
1931,-1.371545455,726.82,177.43,355.51,169.74,38.47,670.17,,,,,,,,,
1932,-1.081545455,762.63,204.59,395.29,134.12,34.66,704.22,,,,,,,,,
1933,-0.681545455,735.86,156.18,369.53,172.85,30.66,656.7,,,,,,,,,
